type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V7,156,I0269,1600.0,0.0,0.0,0
V7,157,I0346,0.0,0.0,0.0,0
V7,157,I0455,1600.0,0.0,0.0,0
V7,158,I0473,0.0,0.0,0.0,0
V7,158,I0176,1600.0,0.0,0.0,0
V7,159,I0106,0.0,0.0,0.0,0
V7,159,I0005,1900.0,0.0,0.0,0
V7,160,I0208,0.0,0.0,0.0,0
V7,160,I0085,1900.0,0.0,0.0,0
V7,161,I0440,0.0,0.0,0.0,0
V7,161,I0165,1900.0,0.0,0.0,0
V7,162,I0218,0.0,0.0,0.0,0
V7,162,I0258,1900.0,0.0,0.0,0
V7,163,I0276,0.0,0.0,0.0,0
V7,163,I0357,1900.0,0.0,0.0,0
V7,164,I0364,0.0,0.0,0.0,0
V7,164,I0441,1900.0,0.0,0.0,0
V7,165,I0476,0.0,0.0,0.0,0
V7,165,I0024,1900.0,0.0,0.0,0
V7,166,I0041,0.0,0.0,0.0,0
V7,166,I0061,1900.0,0.0,0.0,0
V7,167,I0084,0.0,0.0,0.0,0
V7,167,I0154,1900.0,0.0,0.0,0
V7,168,I0216,0.0,0.0,0.0,0
V7,168,I0231,1900.0,0.0,0.0,0
V7,169,I0242,0.0,0.0,0.0,0
V7,169,I0278,1900.0,0.0,0.0,0
V7,170,I0279,0.0,0.0,0.0,0
V7,170,I0313,1900.0,0.0,0.0,0
V7,171,I0342,0.0,0.0,0.0,0
V7,171,I0345,1900.0,0.0,0.0,0
V7,172,I0409,0.0,0.0,0.0,0
V7,172,I0430,1900.0,0.0,0.0,0
V7,173,I0431,0.0,0.0,0.0,0
V7,173,I0477,1900.0,0.0,0.0,0
V7,174,I0033,0.0,0.0,0.0,0
V7,174,I0018,1600.0,0.0,0.0,0
V7,175,I0268,0.0,0.0,0.0,0
V7,175,I0110,1600.0,0.0,0.0,0
V7,176,I0294,0.0,0.0,0.0,0
V7,176,I0394,1600.0,0.0,0.0,0
V7,177,I0480,0.0,0.0,0.0,0
V7,177,I0375,1600.0,0.0,0.0,1
