type_vehicle,idx_vehicle,id_item,x_origin,y_origin,z_origin,orient
V6,78,I0595,0.0,1200.0,0.0,0
V6,78,I0742,780.0,1200.0,0.0,0
V6,79,I0630,0.0,0.0,0.0,0
V6,79,I0668,1600.0,0.0,0.0,0
V6,79,I0765,0.0,1200.0,0.0,0
V6,79,I0876,780.0,1200.0,0.0,0
V6,80,I0677,0.0,0.0,0.0,0
V6,80,I0689,1600.0,0.0,0.0,0
V6,80,I1087,0.0,1200.0,0.0,0
V6,80,I1093,780.0,1200.0,0.0,0
V6,81,I0697,0.0,0.0,0.0,0
V6,81,I0702,1600.0,0.0,0.0,0
V6,81,I0721,0.0,1200.0,0.0,0
V6,81,I0947,780.0,1200.0,0.0,0
V6,82,I0717,0.0,0.0,0.0,0
V6,82,I0722,1600.0,0.0,0.0,0
V6,82,I0990,0.0,1200.0,0.0,0
V6,82,I0070,780.0,1200.0,0.0,0
V6,83,I0727,0.0,0.0,0.0,0
V6,83,I0758,1600.0,0.0,0.0,0
V6,83,I0077,0.0,1200.0,0.0,0
V6,83,I0101,780.0,1200.0,0.0,0
V6,84,I0761,0.0,0.0,0.0,0
V6,84,I0767,1600.0,0.0,0.0,0
V6,84,I0121,0.0,1200.0,0.0,0
V6,84,I0127,780.0,1200.0,0.0,0
V6,85,I0785,0.0,0.0,0.0,0
V6,85,I0797,1600.0,0.0,0.0,0
V6,85,I0174,0.0,1200.0,0.0,0
V6,85,I0220,780.0,1200.0,0.0,0
V6,86,I0802,0.0,0.0,0.0,0
V6,86,I0816,1600.0,0.0,0.0,0
V6,86,I0240,0.0,1200.0,0.0,0
V6,86,I0300,780.0,1200.0,0.0,0
V6,87,I0823,0.0,0.0,0.0,0
V6,87,I0831,1600.0,0.0,0.0,0
V6,87,I0331,0.0,1200.0,0.0,0
V6,87,I0344,780.0,1200.0,0.0,0
V6,88,I0849,0.0,0.0,0.0,0
V6,88,I0851,1600.0,0.0,0.0,0
V6,88,I0387,0.0,1200.0,0.0,0
V6,88,I0427,780.0,1200.0,0.0,0
V6,89,I0861,0.0,0.0,0.0,0
V6,89,I0864,1600.0,0.0,0.0,0
V6,89,I0448,0.0,1200.0,0.0,0
V6,89,I0490,780.0,1200.0,0.0,0
V6,90,I0872,0.0,0.0,0.0,0
V6,90,I0885,1600.0,0.0,0.0,0
V6,90,I0527,0.0,1200.0,0.0,0
V6,90,I0582,780.0,1200.0,0.0,0
V6,91,I0904,0.0,0.0,0.0,0
V6,91,I0911,1600.0,0.0,0.0,0
V6,91,I0681,0.0,1200.0,0.0,0
V6,91,I0691,780.0,1200.0,0.0,0
V6,92,I0916,0.0,0.0,0.0,0
V6,92,I0920,1600.0,0.0,0.0,0
V6,92,I0692,0.0,1200.0,0.0,0
V6,92,I0762,780.0,1200.0,0.0,0
V6,93,I0928,0.0,0.0,0.0,0
V6,93,I0930,1600.0,0.0,0.0,0
V6,93,I0836,0.0,1200.0,0.0,0
V6,93,I0844,780.0,1200.0,0.0,0
V6,94,I0944,0.0,0.0,0.0,0
V6,94,I0948,1600.0,0.0,0.0,0
V6,94,I0867,0.0,1200.0,0.0,0
V6,94,I0919,780.0,1200.0,0.0,0
V6,95,I0955,0.0,0.0,0.0,0
V6,95,I0969,1600.0,0.0,0.0,0
V6,95,I0929,0.0,1200.0,0.0,0
V6,95,I0977,780.0,1200.0,0.0,0
V6,96,I1016,0.0,0.0,0.0,0
V6,96,I1020,1600.0,0.0,0.0,0
V6,96,I0983,0.0,1200.0,0.0,0
V6,96,I1004,780.0,1200.0,0.0,0
V6,97,I1034,0.0,0.0,0.0,0
V6,97,I1045,1600.0,0.0,0.0,0
V6,97,I1057,0.0,1200.0,0.0,0
V6,97,I1128,780.0,1200.0,0.0,0
V6,98,I1050,0.0,0.0,0.0,0
V6,98,I1051,1600.0,0.0,0.0,0
V6,98,I1194,0.0,1200.0,0.0,0
V6,98,I1213,780.0,1200.0,0.0,0
V6,99,I1052,0.0,0.0,0.0,0
V6,99,I1068,1600.0,0.0,0.0,0
V6,99,I1219,0.0,1200.0,0.0,0
V6,99,I1237,780.0,1200.0,0.0,0
V6,100,I1073,0.0,0.0,0.0,0
V6,100,I1076,1600.0,0.0,0.0,0
V6,100,I1293,0.0,1200.0,0.0,0
V6,100,I0010,780.0,1200.0,0.0,0
V6,101,I1082,0.0,0.0,0.0,0
V6,101,I1085,1600.0,0.0,0.0,0
V6,101,I0290,0.0,1200.0,0.0,0
V6,101,I0366,780.0,1200.0,0.0,0
V6,102,I1094,0.0,0.0,0.0,0
V6,102,I1099,1600.0,0.0,0.0,0
V6,102,I0429,0.0,1200.0,0.0,0
V6,102,I0494,780.0,1200.0,0.0,0
V6,103,I1113,0.0,0.0,0.0,0
V6,103,I1118,1600.0,0.0,0.0,0
V6,103,I0609,0.0,1200.0,0.0,0
V6,103,I0869,780.0,1200.0,0.0,0
V6,104,I1130,0.0,0.0,0.0,0
V6,104,I1148,1600.0,0.0,0.0,0
V6,104,I0913,0.0,1200.0,0.0,0
V6,104,I0177,780.0,1200.0,0.0,0
V6,105,I1170,0.0,0.0,0.0,0
V6,105,I1179,1600.0,0.0,0.0,0
V6,105,I0435,0.0,1200.0,0.0,0
V6,105,I0454,780.0,1200.0,0.0,0
V6,106,I1180,0.0,0.0,0.0,0
V6,106,I1191,1600.0,0.0,0.0,0
V6,106,I0514,0.0,1200.0,0.0,0
V6,106,I0539,780.0,1200.0,0.0,0
V6,107,I1218,0.0,0.0,0.0,0
V6,107,I1223,1600.0,0.0,0.0,0
V6,107,I1228,2800.0,0.0,0.0,1
V6,107,I1007,0.0,1200.0,0.0,0
V6,108,I1243,0.0,0.0,0.0,0
V6,108,I1285,1600.0,0.0,0.0,0
V6,108,I0604,0.0,1200.0,0.0,0
V6,108,I0725,780.0,1200.0,0.0,0
V6,109,I1291,0.0,0.0,0.0,0
V6,109,I1294,1600.0,0.0,0.0,0
V6,109,I0763,0.0,1200.0,0.0,0
V6,109,I0768,780.0,1200.0,0.0,0
V6,110,I1296,0.0,0.0,0.0,0
V6,110,I1297,1600.0,0.0,0.0,0
V6,110,I0946,0.0,1200.0,0.0,0
V6,110,I0992,780.0,1200.0,0.0,0
V6,111,I0000,0.0,0.0,0.0,0
V6,111,I0059,1600.0,0.0,0.0,0
V6,111,I0998,0.0,1200.0,0.0,0
V6,111,I1024,780.0,1200.0,0.0,0
V6,112,I0111,0.0,0.0,0.0,0
V6,112,I0149,1600.0,0.0,0.0,0
V6,112,I1119,0.0,1200.0,0.0,0
V6,112,I1192,780.0,1200.0,0.0,0
V6,113,I0176,0.0,0.0,0.0,0
V6,113,I0191,1600.0,0.0,0.0,0
V6,113,I0381,2800.0,0.0,0.0,0
V6,113,I0617,0.0,1200.0,0.0,0
V6,114,I0393,0.0,0.0,0.0,0
V6,114,I0463,1600.0,0.0,0.0,0
V6,114,I1275,0.0,1200.0,0.0,0
V6,114,I1292,780.0,1200.0,0.0,0
V6,115,I0482,0.0,0.0,0.0,0
V6,115,I0522,1600.0,0.0,0.0,0
V6,115,I0023,0.0,1200.0,0.0,0
V6,115,I0140,780.0,1200.0,0.0,0
V6,116,I0528,0.0,0.0,0.0,0
V6,116,I0562,1600.0,0.0,0.0,0
V6,116,I0251,0.0,1200.0,0.0,0
V6,116,I0273,780.0,1200.0,0.0,0
V6,117,I0580,0.0,0.0,0.0,0
V6,117,I0590,1600.0,0.0,0.0,0
V6,117,I0292,0.0,1200.0,0.0,0
V6,117,I0458,780.0,1200.0,0.0,0
V6,118,I0615,0.0,0.0,0.0,0
V6,118,I0634,1600.0,0.0,0.0,0
V6,118,I0492,0.0,1200.0,0.0,0
V6,118,I0548,780.0,1200.0,0.0,0
V6,119,I0647,0.0,0.0,0.0,0
V6,119,I0959,1600.0,0.0,0.0,0
V6,119,I0610,0.0,1200.0,0.0,0
V6,119,I0666,780.0,1200.0,0.0,0
V6,120,I1086,0.0,0.0,0.0,0
